"Make Id","Make Name","Make Created","Make Modified"
1,Acura,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
24,"Alfa Romeo","8/30/22, 10:20 PM","8/30/22, 10:20 PM"
44,"Aston Martin","8/30/22, 10:21 PM","8/30/22, 10:21 PM"
2,Audi,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
25,Bentley,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
3,BMW,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
56,Bugatti,"8/30/22, 10:40 PM","8/30/22, 10:40 PM"
4,Buick,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
5,Cadillac,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
6,Chevrolet,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
26,Chrysler,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
27,Dodge,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
46,Ferrari,"8/30/22, 10:25 PM","8/30/22, 10:25 PM"
28,FIAT,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
29,Ford,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
7,Genesis,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
8,GMC,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
9,Honda,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
10,Hyundai,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
11,INFINITI,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
12,Jaguar,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
30,Jeep,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
31,Karma,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
13,Kia,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
32,Lamborghini,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
14,"Land Rover","8/30/22, 10:19 PM","8/30/22, 10:19 PM"
33,Lexus,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
15,Lincoln,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
45,Lotus,"8/30/22, 10:21 PM","8/30/22, 10:21 PM"
35,Maserati,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
16,Mazda,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
36,McLaren,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
37,Mercedes-Benz,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
17,MINI,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
18,Mitsubishi,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
19,Nissan,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
20,Polestar,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
38,Porsche,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
39,Ram,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
41,Rolls-Royce,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
48,Scion,"8/30/22, 10:30 PM","8/30/22, 10:30 PM"
47,smart,"8/30/22, 10:25 PM","8/30/22, 10:25 PM"
58,Spyker,"8/30/22, 10:40 PM","8/30/22, 10:40 PM"
21,Subaru,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
42,Tesla,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
22,Toyota,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
43,Volkswagen,"8/30/22, 10:20 PM","8/30/22, 10:20 PM"
23,Volvo,"8/30/22, 10:19 PM","8/30/22, 10:19 PM"
